"lang"
{ 
	"Language" "English" 
		"npc_dota_boss_ancient_drake"                                                                       "Zealotrous Drake"
		"npc_dota_boss_axe_minion"                                                                          "Crimson Gremlin"
		"npc_dota_boss_axe_reaver"                                                                          "Crimson Reaver"
		"npc_dota_boss_butcher"																				"Slice of Life"
		"npc_dota_boss_clockwerk_droid"                                                                     "Clockwork Droid"
		"npc_dota_boss_clockwerk_mecha"                                                                     "Clockwork Mecha"
		"npc_dota_boss_divine_prophet"                                                                      "Divine Prophet"
		"npc_dota_boss_forest_guardian"                                                                     "Forest Guardian"
		"npc_dota_boss_forest_summoner"                                                                     "Grove Summoner"
		"npc_dota_boss_flash"																				"The Flash"
		"npc_dota_boss_gnoll_assassin"                                                                      "Gnoll Assassin"
		"npc_dota_boss_gnoll_berserker"                                                                     "Gnoll Berserker"
		"npc_dota_boss_granite_golem"                                                                       "Granite Titan"
		"npc_dota_boss_greater_treant"                                                                      "Greater Treant"
		"npc_dota_boss_heroic1"                                                                             "The Soul Eater"
		"npc_dota_boss_heroic2"                                                                             "Holder of Keys"
		"npc_dota_boss_heroic3"                                                                             "Ifdat"
		"npc_dota_boss_kobold_overseer"                                                                     "Kobold Overseer"
		"npc_dota_boss_kobold_serf"                                                                         "Kobold Serf"
		"npc_dota_boss_kobold_warrior"                                                                      "Kobold Warrior"
		"npc_dota_boss_leshrac_destroyer"                                                                   "Otherworldly Destroyer"
		"npc_dota_boss_lifestealer"                                                                         "Life Eater"
		"npc_dota_boss_mud_golem"                                                                           "Rock Golem"
		"npc_dota_boss_naga_illusionist"                                                                    "Slithereen Illusionist"
		"npc_dota_boss_ogre_defender"                                                                       "Troll Berserker"
		"npc_dota_boss_ogre_destroyer"                                                                      "Troll Destroyer"
		"npc_dota_boss_ogre_magi"                                                                           "Troll Magus"
		"npc_dota_boss_ogre_minion"                                                                         "Troll Minion"
		"npc_dota_boss_winter_wyvern"																		"Winter Wyvern"
		"npc_dota_minion_frost_lich"																		"Frost Lich"
		"npc_dota_minion_frost_elemental"																	"Frost Elemental"
		"npc_dota_boss_roshan_beast"                                                                        "Direbeast"
		"npc_dota_boss_skeleton_archer"                                                                     "Skeletal Deadeye"
		"npc_dota_boss_skeleton_king"                                                                       "King of Ribs"
		"npc_dota_boss_skeleton_minion"                                                                     "Skeletal Militia"
		"npc_dota_boss_skeleton_vanguard"                                                                   "Skeletal Vanguard"
		"npc_dota_boss_slardar_minion"                                                                      "Slithereen"
		"npc_dota_boss_slardar_queen"                                                                       "Slithereen Queen"
		"npc_dota_boss_slark_rogue"                                                                         "Darkreef Rogue"
		"npc_dota_boss_slark_thug"                                                                          "Darkreef Bruiser"
		"npc_dota_boss_tidehunter_ravager"                                                                  "Slithereen Ravager"
		"npc_dota_boss_treant"                                                                              "Treant of the Forest"
		"npc_dota_boss_troll_warlord"                                                                       "Troll Warlord"
		"npc_dota_boss_zombie"                                                                              "Raging Zombie"
		"npc_dota_boss_zombie_lord"                                                                         "Zombie Lord"
		"npc_dota_boss_zombie_minion"                                                                       "Zombie Torso"
		"npc_dota_boss_zombie_spitter"                                                                      "Bile Zombie"
		"npc_dota_boss_trickster_dragon"																	"Trickster Dragon"
		"npc_dota_minion_ursine_scout"																		"Ursine Scoundrel"
		"npc_dota_boss_ursine_guardian"																		"Ursine Guardian"
		"npc_dota_boss_ursine_shaman"																		"Ursine Shaman"
		"npc_dota_boss_psionic_assassin"                                                                    "Psionic Assassin"
		"npc_dota_minion_psionic_scarab"																	"Psionic Scarab"
		"npc_dota_boss_demonic_golem"																		"Demonic Golem"
		"npc_dota_minion_demonic_imp"																		"Demonic Imp"
		"npc_dota_boss_demonic_cultist"																		"Demonic Cultist"
		"npc_dota_boss_infernal_duelist"																	"Infernal Duelist"
		"npc_dota_minion_fallen_angel"																		"Fallen Angel"
		"npc_dota_boss_mania_demon"																			"Ose, Harbinger of Madness"
		"npc_dota_boss_dementia_demon"																		"Adramalech, Harbinger of Melancholy"
		"npc_dota_minion_mania_splinter"																	"Splinter of Madness"
		"npc_dota_minion_dementia_splinter"																	"Splinter of Melancholy"
		"npc_dota_boss_death_avatar"																		"Djall, Avatar of Death"
		"npc_dota_minion_death_bringer"																		"Death Bringer"
		"npc_dota_boss_lord_of_hell"																		"Lucifer, Lord of the Hells"
		"npc_dota_minion_hellish_servant"																	"Hellish Servant"
		"npc_dota_boss_rift_guardian"																		"Asura, Guardian of the Rift"
		"npc_dota_minion_rift_cleric"																		"Rift Servant"
		"npc_dota_boss_rift_general"																		"Rift-breaker General"

		"npc_dota_unit_tombstone1"                                                                          "Tombstone"
		"npc_dota_unit_tombstone2"                                                                          "Tombstone"
		"npc_dota_unit_tombstone3"                                                                          "Tombstone"
		"npc_dota_unit_tombstone4"                                                                          "Tombstone"
		"npc_dota_unit_tombstone5"                                                                          "Tombstone"
		"npc_dota_unit_tombstone6"                                                                          "Tombstone"
		"npc_dota_unit_tombstone7"                                                                          "Tombstone"

		"npc_dota_practice_hero"																			"Practice Dummy"
		
		//BOSS ABILITIES ======================================================================================================
		"DOTA_Tooltip_ability_enemy_champion"																"Champion" 		
		"DOTA_Tooltip_ability_enemy_champion_Description"													"Champion Units take less maximum health damage. Each active player in the game reduces the damage taken."
		
		"DOTA_Tooltip_ability_enemy_minion"																	"Minion" 		
		"DOTA_Tooltip_ability_enemy_minion_Description"														"Whenever a spell deals damage to another unit, a Minion gains %dmg_taken_from_aoe%%% damage reduction against that spell for %reduction_duration% seconds."

		
		"DOTA_Tooltip_ability_minion_frost_lich_chain_frost"												"Chain Frost"
		"DOTA_Tooltip_ability_minion_frost_lich_chain_frost_Description"									"Releases an orb of frost that bounces between nearby enemy units as long as they are within range, slowing and damaging each time it hits. Each bounce increases the damage for the subsequent bounces."
		"DOTA_Tooltip_ability_minion_frost_lich_chain_frost_Lore"											"Almost universally considered the ultimate in frost magic, Ethreain's orb of frozen death strikes fear into those who dare stand against him."
		"DOTA_Tooltip_ability_minion_frost_lich_chain_frost_Note0"											"Chain Frost cannot be disjointed."
		"DOTA_Tooltip_ability_minion_frost_lich_chain_frost_Note1"											"Chain Frost has a movement speed of %projectile_speed%."
		"DOTA_Tooltip_ability_minion_frost_lich_chain_frost_Note2"											"Chain Frost doesn't bounce to Zombies."
		"DOTA_Tooltip_ability_minion_frost_lich_chain_frost_damage"											"DAMAGE EACH BOUNCE:"
		"DOTA_Tooltip_ability_minion_frost_lich_chain_frost_jumps"											"BOUNCES:"
		"DOTA_Tooltip_ability_minion_frost_lich_chain_frost_jump_range"										"BOUNCE RANGE:"
		"DOTA_Tooltip_ability_minion_frost_lich_chain_frost_slow_movement_speed"							"%MOVEMENT SLOW:"
		"DOTA_Tooltip_ability_minion_frost_lich_chain_frost_slow_attack_speed"								"ATTACK SLOW:"
		"DOTA_Tooltip_ability_minion_frost_lich_chain_frost_slow_duration"									"SLOW DURATION:"		
		"DOTA_Tooltip_ability_minion_frost_lich_chain_frost_bonus_jump_damage"								"INCREMENTAL DAMAGE:"
		
		"DOTA_Tooltip_ability_minion_frost_elemental_ice_vortex"											"Ice Vortex"
		"DOTA_Tooltip_ability_minion_frost_elemental_ice_vortex_Description"								"Creates a vortex of icy energy that deals damage, slows and increases magic damage done to enemies in its range."
		"DOTA_Tooltip_ability_minion_frost_elemental_ice_vortex_Lore"										"Frozen, caustic winds are at the whim of Kaldr, chilling the field of battle."
		"DOTA_Tooltip_ability_minion_frost_elemental_ice_vortex_Note0"										"Provides vision in a small area where it is placed."
		"DOTA_Tooltip_ability_minion_frost_elemental_ice_vortex_movement_speed_pct"							"%SLOW:"
		"DOTA_Tooltip_ability_minion_frost_elemental_ice_vortex_spell_resist_pct"							"%INCREASED MAGIC DAMAGE:"
		"DOTA_Tooltip_ability_minion_frost_elemental_ice_vortex_radius"										"RADIUS:"
		"DOTA_Tooltip_ability_minion_frost_elemental_ice_vortex_vortex_duration"							"DURATION:"
		"DOTA_Tooltip_ability_minion_frost_elemental_ice_vortex_shard_dps"									"DAMAGE PER SECOND:"

		"DOTA_Tooltip_ability_minion_frost_elemental_ice_blast"												"Ice Blast"
		"DOTA_Tooltip_ability_minion_frost_elemental_ice_blast_Description"									"Launches a tracer toward any location on the battlefield, which must be triggered again to mark the area to be blasted by a damaging explosion of hail. The further the tracer travels, the larger the explosion will be. Enemies caught in the explosion, or who touch the icy ball of hail as it travels, are Frostbitten, taking damage and prevented from regenerating or healing. If a Frostbitten unit's health drops below a certain percentage, they will instantly shatter."		
		"DOTA_Tooltip_ability_minion_frost_elemental_ice_blast_shard_description"							"Freezes enemies hit with the current level of Cold Feet for %cold_feet_stun_duration_pct%%% of the duration."
		"DOTA_Tooltip_ability_minion_frost_elemental_ice_blast_Lore"										"Ice storms from ages past flow through Kaldr's frosty limbs, crashing into the world and turning its inhabitants into monuments to his eternal power."
		"DOTA_Tooltip_ability_minion_frost_elemental_ice_blast_Note0"										"Upon cast, this ability is replaced by Release, used to stop the tracer on the target area."
		"DOTA_Tooltip_ability_minion_frost_elemental_ice_blast_Note1"										"The area of effect is %radius_min% + %radius_grow%*TimeTraveled, capped at %radius_max%.  The freeze area along the path is %path_radius%."
		"DOTA_Tooltip_ability_minion_frost_elemental_ice_blast_Note2"										"Kill will be granted to the source of the damage that triggers the shatter."
		"DOTA_Tooltip_ability_minion_frost_elemental_ice_blast_Note3"										"The shatter effect doesn't work on illusions."
		"DOTA_Tooltip_ability_minion_frost_elemental_ice_blast_Note4"										"The HP Freeze prevents most kinds of healing, including the fountain, except Sunder, Time Lapse and Supernova."
		"DOTA_Tooltip_ability_minion_frost_elemental_ice_blast_frostbite_duration"							"FROSTBITTEN DURATION:"
		"DOTA_Tooltip_ability_minion_frost_elemental_ice_blast_dot_damage"									"FROSTBITTEN DAMAGE PER SECOND:"
		"DOTA_Tooltip_ability_minion_frost_elemental_ice_blast_kill_pct"									"%SHATTER HEALTH THRESHOLD:"
		
		"DOTA_Tooltip_ability_boss_winter_wyvern_arctic_burn"												"Arctic Burn"
		"DOTA_Tooltip_ability_boss_winter_wyvern_arctic_burn_Description"									"Winter Wyvern soars upon an arctic wind, granting her unobstructed movement and allowing her to exhale a blistering chill into each attack. While soaring, her attacks travel further and faster, and slow enemies with a magical freeze that strips them of %percent_damage%%% of their current health each second. Her sight is also hardened against night's chill, granting her %night_vision_bonus% additional vision range at night while soaring."
        "DOTA_Tooltip_ability_boss_winter_wyvern_arctic_burn_scepter_description"							"Causes Arctic Burn to be a toggle ability, draining mana every second when active. Removes limit on number of attacks per target. Increases Winter Wyvern's movement speed."
		"DOTA_Tooltip_ability_boss_winter_wyvern_arctic_burn_Lore"											"The same organ where some dragons stoke their inner flame is, in Auroth, a crucible of unimaginable cold. From deep within her frosty gullet, an exhalation sends enemies into burning agony."
		"DOTA_Tooltip_ability_boss_winter_wyvern_arctic_burn_duration"										"FLIGHT DURATION:"
		"DOTA_Tooltip_ability_boss_winter_wyvern_arctic_burn_attack_range_bonus"							"BONUS ATTACK RANGE:"
		"DOTA_Tooltip_ability_boss_winter_wyvern_arctic_burn_percent_damage"								"%HEALTH BURN:"
		"DOTA_Tooltip_ability_boss_winter_wyvern_arctic_burn_move_slow"										"%MOVEMENT SLOW:"
		"DOTA_Tooltip_ability_boss_winter_wyvern_arctic_burn_damage_duration"								"BURN DURATION:"
		"DOTA_Tooltip_ability_boss_winter_wyvern_arctic_burn_night_vision_bonus"							"ADDED NIGHT VISION RANGE:"
		"DOTA_Tooltip_ability_boss_winter_wyvern_arctic_burn_mana_cost_scepter"								"MANA PER SECOND:"
		"DOTA_Tooltip_ability_boss_winter_wyvern_arctic_burn_movement_scepter"								"%MOVEMENT SPEED:"
		"DOTA_Tooltip_ability_boss_winter_wyvern_arctic_burn_Note0"											"Enemy units can only receive the Arctic Burn debuff once per cast."
		"DOTA_Tooltip_ability_boss_winter_wyvern_arctic_burn_Note1"											"This ability does not affect Roshan."
		"DOTA_Tooltip_ability_boss_winter_wyvern_arctic_burn_Note2"											"Reduces Winter Wyvern's attack point to %attack_point%."
		"DOTA_Tooltip_ability_boss_winter_wyvern_arctic_burn_Note3"											"The damage and slow from Arctic Burn can be dispelled."
		
		"DOTA_Tooltip_ability_boss_winter_wyvern_splinter_blast"											"Splinter Blast"
		"DOTA_Tooltip_ability_boss_winter_wyvern_splinter_blast_Description"								"Launches a ball of brittle ice toward an enemy. The ice shatters on impact, leaving the primary target completely unaffected, while hurling damaging splinters into nearby enemies in a %split_radius% base radius. Enemies struck by these splinters are slowed by %movespeed_slow_tooltip%%%."
		"DOTA_Tooltip_ability_boss_winter_wyvern_splinter_blast_Lore"										"Produced slowly by specialized vesicles in her frozen gullet, Winter Wyvern blast shards of ice at her enemies."
		"DOTA_Tooltip_ability_boss_winter_wyvern_splinter_blast_damage"										"DAMAGE:"
		"DOTA_Tooltip_ability_boss_winter_wyvern_splinter_blast_split_radius"								"SHATTER RADIUS:"
		"DOTA_Tooltip_ability_boss_winter_wyvern_splinter_blast_movespeed_slow_tooltip"						"%MOVEMENT SLOW:"
		"DOTA_Tooltip_ability_boss_winter_wyvern_splinter_blast_duration"									"SLOW DURATION:"		
		"DOTA_Tooltip_ability_boss_winter_wyvern_splinter_blast_Note0"										"The primary projectile moves at %projectile_speed% movement speed, or reaches the target in %projectile_max_time% second, whichever is faster."
		"DOTA_Tooltip_ability_boss_winter_wyvern_splinter_blast_Note1"										"The primary projectile cannot be disjointed."
		
		"DOTA_Tooltip_ability_boss_winter_wyvern_cold_embrace"												"Cold Embrace"
		"DOTA_Tooltip_ability_boss_winter_wyvern_cold_embrace_Description"									"Encases an ally or enemy in an icy cocoon, freezing them solid. Allies heal a percentage of their maximum health each second, while enemies lose a percentage of their maximum health. The cocoon blocks all physical damage and explodes into Splinter Blast Shards upon expiring."
		"DOTA_Tooltip_ability_boss_winter_wyvern_cold_embrace_shard_description"							"When Cold Embrace ends, a Splinter Blast goes off at that location, hitting enemies within %shard_splinter_range% range. Reduces cooldown by %shard_cooldown_reduction% seconds."
		"DOTA_Tooltip_ability_boss_winter_wyvern_cold_embrace_Lore"											"From winter's heart comes a cold, healing embrace. The ice slows the blood and allows the spell to better work its curative magic."
		"DOTA_Tooltip_ability_boss_winter_wyvern_cold_embrace_duration"										"DURATION:"
		"DOTA_Tooltip_ability_boss_winter_wyvern_cold_embrace_heal_additive"								"BASE HEAL PER SECOND:"
		"DOTA_Tooltip_ability_boss_winter_wyvern_cold_embrace_heal_percentage"								"%MAX HP HEAL PER SECOND:"
		
		"DOTA_Tooltip_ability_boss_trickster_dragon_illusory_orb"											"Illusory Orb"
		"DOTA_Tooltip_ability_boss_trickster_dragon_illusory_orb_Description"								"The Trickster Dragon launches a magic orb that floats in a straight path, damaging enemy units along the way."
		"DOTA_Tooltip_ability_boss_trickster_dragon_illusory_orb_Lore"										"The playful Faerie Dragon delights in confusing others, vanishing and reappearing where unexpected."
		"DOTA_Tooltip_ability_boss_trickster_dragon_illusory_orb_Note0"										"The Illusory Orb grants unobstructed vision around its location while it travels."
		"DOTA_Tooltip_ability_boss_trickster_dragon_illusory_orb_max_distance"								"MAX DISTANCE:"
		"DOTA_Tooltip_ability_boss_trickster_dragon_illusory_orb_damage"									"DAMAGE:"
		
		"DOTA_Tooltip_ability_boss_trickster_dragon_waning_rift"											"Waning Rift"
		"DOTA_Tooltip_ability_boss_trickster_dragon_waning_rift_Description"								"The Trickster Dragon teleports to the target location and releases a burst of faerie dust that deals damage and silences enemy units nearby."
		"DOTA_Tooltip_ability_boss_trickster_dragon_waning_rift_scepter_description"						"Waning Rift now has %scepter_radius% radius and range and knocks enemies back %scepter_pushback% distance over %scepter_pushback_duration% seconds (non-interrupting). Reveals invisible enemy units and wards in the area for %scepter_vision_duration% seconds."
		"DOTA_Tooltip_ability_boss_trickster_dragon_waning_rift_Lore"										"With a mischievous grin, boss_trickster_dragon spreads its enchanted powder which disrupts magical flow."
		"DOTA_Tooltip_ability_boss_trickster_dragon_waning_rift_radius"										"RADIUS:"
		"DOTA_Tooltip_ability_boss_trickster_dragon_waning_rift_max_distance"								"MAX DISTANCE:"
		"DOTA_Tooltip_ability_boss_trickster_dragon_waning_rift_silence_duration"							"DURATION:"
		"DOTA_Tooltip_ability_boss_trickster_dragon_waning_rift_damage"										"DAMAGE:"
		
		"DOTA_Tooltip_ability_boss_trickster_dragon_phase_shift"											"Phase Shift"
		"DOTA_Tooltip_ability_boss_trickster_dragon_phase_shift_Description"								"CHANNELED - Trickster Dragon briefly shifts into another dimension where it is immune from harm."
		"DOTA_Tooltip_ability_boss_trickster_dragon_phase_shift_shard_description"							"Trickster Dragon's attacks deal bonus magic damage. Trickster Dragon attacks all enemies within its attack range + %shard_attack_range_bonus% every time it phase shifts."
		"DOTA_Tooltip_ability_boss_trickster_dragon_phase_shift_shard_bonus_damage"							"BONUS DAMAGE:"
		"DOTA_Tooltip_ability_boss_trickster_dragon_phase_shift_Lore"										"With a quip and flash, boss_trickster_dragon returns to the alien dimension from whence it came."
		"DOTA_Tooltip_ability_boss_trickster_dragon_phase_shift_duration"									"DURATION:"
		
		"DOTA_Tooltip_ability_boss_trickster_dragon_dream_coil"												"Dream Coil"
		"DOTA_Tooltip_ability_boss_trickster_dragon_dream_coil_Description"									"Creates a coil of volatile magic that latches onto enemy Heroes, damaging and leashing them.  If the enemy hero stretches the coil by moving too far away, it snaps, stunning and dealing additional damage."
		"DOTA_Tooltip_ability_boss_trickster_dragon_dream_coil_scepter_Description"							"All enemies affected by Dream Coil are attacked based on boss_trickster_dragon's attack rate. The attacks continue while the target is stunned if they break the Dream Coil."		
		"DOTA_Tooltip_ability_boss_trickster_dragon_dream_coil_Lore"										"The Faerie Dragon sows confusion by forcing its enemies to vividly dream about their own mortality."
		"DOTA_Tooltip_ability_boss_trickster_dragon_dream_coil_coil_duration"								"COIL DURATION:"
		"DOTA_Tooltip_ability_boss_trickster_dragon_dream_coil_coil_initial_damage"							"INITIAL DAMAGE:"
		"DOTA_Tooltip_ability_boss_trickster_dragon_dream_coil_coil_break_radius"							"BREAK RADIUS:"
		"DOTA_Tooltip_ability_boss_trickster_dragon_dream_coil_coil_stun_duration"							"BREAK STUN DURATION:"
		"DOTA_Tooltip_ability_boss_trickster_dragon_dream_coil_coil_break_damage"							"BREAK DAMAGE:"
		"DOTA_Tooltip_ability_boss_trickster_dragon_dream_coil_coil_duration_scepter"						"SCEPTER COIL DURATION:"
		"DOTA_Tooltip_ability_boss_trickster_dragon_dream_coil_coil_stun_duration_scepter"					"SCEPTER BREAK STUN DURATION:"
		"DOTA_Tooltip_ability_boss_trickster_dragon_dream_coil_coil_break_damage_scepter"					"SCEPTER BREAK DAMAGE:"
		
		"DOTA_Tooltip_ability_boss_trickster_dragon_ethereal_duplicate"										"Ethereal Duplicate"
		"DOTA_Tooltip_ability_boss_trickster_dragon_ethereal_duplicate_Description"							"The Trickster Dragon teleports and creates an illusory duplicate that lasts %duration% seconds each time it casts a spell. The illusion has decreased health and damage."
		"DOTA_Tooltip_ability_boss_trickster_dragon_ethereal_duplicate_incoming_damage"						"%DAMAGE TAKEN"
